station_id,station_name,direction
1,Boston College,Boston College
2,South Street,Boston College
3,Chestnut Hill Avenue,Boston College
4,Chiswick Road,Boston College
5,Sutherland Road,Boston College
6,Washington Street,Boston College
7,Warren Street,Boston College
8,Allston Street,Boston College
9,Griggs Street,Boston College
10,Harvard Avenue,Boston College
11,Packards Corner,Boston College
12,Babcock Street,Boston College
13,Amory Street,Boston College
15,BU Central,Boston College
16,BU East,Boston College
17,Blandford Street,Boston College
18,Kenmore,Government Center
19,Hynes Convention Center,Government Center
20,Copley,Government Center
21,Arlington,Government Center
22,Boylston,Government Center
23,Park Street,Government Center
24,Government Center,Government Center
